23:28:23.530 [scheduling-1] INFO  o.u.i.l.MessageThrowExecutionListener - [MessageThrowExecutionListener] Delivered 'Message_1vkf9r4' from 'Event_1cg44bm' to execution 'efca2802-23e2-11f1-ae2c-4a84ddaf9f81' (businessKey=a)
23:28:23.534 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Signaled gateway Gateway_1ujw22y (execution=efcac446-23e2-11f1-ae2c-4a84ddaf9f81) with selected flow Flow_16ykrk9
23:28:31.091 [http-nio-8082-exec-3] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_1mdszue' position set to: place4
23:28:31.506 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_1mdszue reached destination set4 | Completing task
23:28:31.508 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_0doaz4d'. signalName=null, signalData=null
23:28:31.509 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='set4' on Activity_0doaz4d
23:28:31.510 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1mdszue (execution=f0d4e151-23e2-11f1-ae2c-4a84ddaf9f81)
23:28:31.510 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1mdszue (execution=f0d4e151-23e2-11f1-ae2c-4a84ddaf9f81)
23:28:31.512 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_1wilfda | execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81 | guard='(empty)' | action='rentVehicle' | participantId=Participant_1mdszue | timer=(empty)
23:28:31.512 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_1wilfda - Pick-up bike | Guard: (empty) | Action: rentVehicle | Timer: (empty)
23:28:31.512 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1wilfda' has entered wait state.
23:28:31.514 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_1mdszue
23:28:31.515 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1wilfda -> auto-pass
23:28:31.516 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] rentVehicle executed | activity=Activity_1wilfda | participant=Participant_1mdszue | place=place4 | taken=false | state=null
23:28:31.517 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1wilfda'. signalName=null, signalData=null
23:28:31.518 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Removed environmental task | activity=Activity_1wilfda | execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81
23:28:31.518 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_1wilfda ended
23:28:31.520 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='set8' on Activity_1cvsw1r
23:28:31.520 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_1cvsw1r - Move to free bike parking | Participant: Customer (Participant_1mdszue) | Destination: set8 | Timer: (empty)
