10:45:03.140 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_0x4uste ended
10:45:03.145 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='place7' on Activity_0c4vv6j
10:45:03.146 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_0c4vv6j - Move to base station | Participant: Robot Planter (Participant_1fejmk0) | Destination: place7 | Timer: (empty)
10:45:03.146 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1fejmk0 | Activity: Activity_0c4vv6j | Destination: place7 | ExecutionId: fd2d8a42-22ae-11f1-a061-6ee3202e5531 | Timer: (empty)
10:45:03.146 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0c4vv6j' has entered wait state.
10:45:03.151 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_0x4uste | execution=1625726c-22af-11f1-a061-6ee3202e5531 | guard='' | action='plantArea'
10:45:20.755 [http-nio-8082-exec-9] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_1fejmk0' position set to: place7
10:45:21.128 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_1fejmk0 reached destination place7 | Completing task
10:45:21.131 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_0c4vv6j'. signalName=null, signalData=null
10:45:21.134 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='place7' on Activity_0c4vv6j
10:45:21.135 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1fejmk0
10:45:21.135 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1fejmk0
10:45:21.152 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_1fejmk0
10:46:06.674 [http-nio-8082-exec-7] INFO  o.u.i.s.p.ParticipantService - [ParticipantService] Extracted collaboration with 2 participants
10:46:06.677 [http-nio-8082-exec-7] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='Lp_bkw2w6' on Activity_0bueab4
10:46:06.677 [http-nio-8082-exec-7] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_0bueab4 - Move to
free area | Participant: Farmer (Participant_2abc123) | Destination: Lp_bkw2w6 | Timer: (empty)
10:46:06.677 [http-nio-8082-exec-7] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_2abc123 | Activity: Activity_0bueab4 | Destination: Lp_bkw2w6 | ExecutionId: 4920bf42-22af-11f1-a061-6ee3202e5531 | Timer: (empty)
10:46:06.677 [http-nio-8082-exec-7] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0bueab4' has entered wait state.
